"STATION","NAME","DATE","TAVG"
"USW00014739","BOSTON, MA US","2016-06-25","66"
"USW00014739","BOSTON, MA US","2016-06-26","70"
"USW00014739","BOSTON, MA US","2016-06-27","74"
"USW00014739","BOSTON, MA US","2016-06-28","73"
"USW00014739","BOSTON, MA US","2016-06-29","74"
"USW00014739","BOSTON, MA US","2016-06-30","73"
"USW00014739","BOSTON, MA US","2016-07-01","76"
"USW00014739","BOSTON, MA US","2016-07-02","73"
"USW00014739","BOSTON, MA US","2016-07-03","73"
"USW00014739","BOSTON, MA US","2016-07-04","77"
"USW00014739","BOSTON, MA US","2016-07-05","70"
"USW00014739","BOSTON, MA US","2016-07-06","78"
"USW00014739","BOSTON, MA US","2016-07-07","70"
"USW00014739","BOSTON, MA US","2016-07-08","63"
"USW00014739","BOSTON, MA US","2016-07-09","62"
"USW00014739","BOSTON, MA US","2016-07-10","62"
"USW00014739","BOSTON, MA US","2016-07-11","65"
"USW00014739","BOSTON, MA US","2016-07-12","75"
"USW00014739","BOSTON, MA US","2016-07-13","78"
"USW00014739","BOSTON, MA US","2016-07-14","76"
"USW00014739","BOSTON, MA US","2016-07-15","81"
"USW00014739","BOSTON, MA US","2016-07-16","84"
"USW00014739","BOSTON, MA US","2016-07-17","76"
"USW00014739","BOSTON, MA US","2016-07-18","78"
"USW00014739","BOSTON, MA US","2016-07-19","78"
"USW00014739","BOSTON, MA US","2016-07-20","74"
"USW00014739","BOSTON, MA US","2016-07-21","79"
"USW00014739","BOSTON, MA US","2016-07-22","84"
"USW00014739","BOSTON, MA US","2016-07-23","83"
"USW00014739","BOSTON, MA US","2016-07-24","77"
"USW00014739","BOSTON, MA US","2016-07-25","76"
"USW00014739","BOSTON, MA US","2016-07-26","84"
"USW00014739","BOSTON, MA US","2016-07-27","81"
"USW00014739","BOSTON, MA US","2016-07-28","82"
"USW00014739","BOSTON, MA US","2016-07-29","77"
"USW00014739","BOSTON, MA US","2016-07-30","75"
"USW00014739","BOSTON, MA US","2016-07-31","71"
"USW00014739","BOSTON, MA US","2016-08-01","71"
"USW00014739","BOSTON, MA US","2016-08-02","70"
"USW00014739","BOSTON, MA US","2016-08-03","70"
"USW00014739","BOSTON, MA US","2016-08-04","74"
"USW00014739","BOSTON, MA US","2016-08-05","75"
"USW00014739","BOSTON, MA US","2016-08-06","77"
"USW00014739","BOSTON, MA US","2016-08-07","80"
"USW00014739","BOSTON, MA US","2016-08-08","76"
"USW00014739","BOSTON, MA US","2016-08-09","75"
"USW00014739","BOSTON, MA US","2016-08-10","74"
"USW00014739","BOSTON, MA US","2016-08-11","83"
"USW00014739","BOSTON, MA US","2016-08-12","86"
"USW00014739","BOSTON, MA US","2016-08-13","74"
"USW00014739","BOSTON, MA US","2016-08-14","80"
"USW00014739","BOSTON, MA US","2016-08-15","83"
"USW00014739","BOSTON, MA US","2016-08-16","74"
"USW00014739","BOSTON, MA US","2016-08-17","81"
"USW00014739","BOSTON, MA US","2016-08-18","77"
"USW00014739","BOSTON, MA US","2016-08-19","78"
"USW00014739","BOSTON, MA US","2016-08-20","74"
"USW00014739","BOSTON, MA US","2016-08-21","71"
"USW00014739","BOSTON, MA US","2016-08-22","73"
"USW00014739","BOSTON, MA US","2016-08-23","71"
"USW00014739","BOSTON, MA US","2016-08-24","74"
"USW00014739","BOSTON, MA US","2016-08-25","78"
"USW00014739","BOSTON, MA US","2016-08-26","80"
"USW00014739","BOSTON, MA US","2016-08-27","78"
"USW00014739","BOSTON, MA US","2016-08-28","72"
"USW00014739","BOSTON, MA US","2016-08-29","77"
"USW00014739","BOSTON, MA US","2016-08-30","71"
"USW00014739","BOSTON, MA US","2016-08-31","74"
"USW00014739","BOSTON, MA US","2016-09-01","74"
"USW00014739","BOSTON, MA US","2016-09-02","69"
"USW00014739","BOSTON, MA US","2016-09-03","65"
"USW00014739","BOSTON, MA US","2016-09-04","65"
"USW00014739","BOSTON, MA US","2016-09-05","65"
"USW00014739","BOSTON, MA US","2016-09-06","65"
"USW00014739","BOSTON, MA US","2016-09-07","69"
"USW00014739","BOSTON, MA US","2016-09-08","70"
"USW00014739","BOSTON, MA US","2016-09-09","79"
"USW00014739","BOSTON, MA US","2016-09-10","75"
"USW00014739","BOSTON, MA US","2016-09-11","76"
"USW00014739","BOSTON, MA US","2016-09-12","66"
"USW00014739","BOSTON, MA US","2016-09-13","70"
"USW00014739","BOSTON, MA US","2016-09-14","74"
"USW00014739","BOSTON, MA US","2016-09-15","63"
"USW00014739","BOSTON, MA US","2016-09-16","62"
"USW00014739","BOSTON, MA US","2016-09-17","65"
"USW00014739","BOSTON, MA US","2016-09-18","73"
"USW00014739","BOSTON, MA US","2016-09-19","72"
"USW00014739","BOSTON, MA US","2016-09-20","70"
"USW00014739","BOSTON, MA US","2016-09-21","75"
"USW00014739","BOSTON, MA US","2016-09-22","71"
"USW00014739","BOSTON, MA US","2016-09-23","70"
"USW00014739","BOSTON, MA US","2016-09-24","60"
"USW00014739","BOSTON, MA US","2016-09-25","58"
"USW00014739","BOSTON, MA US","2016-09-26","56"
"USW00014739","BOSTON, MA US","2016-09-27","63"
"USW00014739","BOSTON, MA US","2016-09-28","59"
"USW00014739","BOSTON, MA US","2016-09-29","57"
"USW00014739","BOSTON, MA US","2016-09-30","58"
"USW00014739","BOSTON, MA US","2016-10-01","57"
"USW00014739","BOSTON, MA US","2016-10-02","55"
"USW00014739","BOSTON, MA US","2016-10-03","60"
"USW00014739","BOSTON, MA US","2016-10-04","59"
"USW00014739","BOSTON, MA US","2016-10-05","54"
"USW00014739","BOSTON, MA US","2016-10-06","56"
"USW00014739","BOSTON, MA US","2016-10-07","60"
"USW00014739","BOSTON, MA US","2016-10-08","60"
"USW00014739","BOSTON, MA US","2016-10-09","59"
"USW00014739","BOSTON, MA US","2016-10-10","51"
"USW00014739","BOSTON, MA US","2016-10-11","51"
"USW00014739","BOSTON, MA US","2016-10-12","55"
"USW00014739","BOSTON, MA US","2016-10-13","60"
"USW00014739","BOSTON, MA US","2016-10-14","54"
"USW00014739","BOSTON, MA US","2016-10-15","49"
"USW00014739","BOSTON, MA US","2016-10-16","56"
"USW00014739","BOSTON, MA US","2016-10-17","66"
"USW00014739","BOSTON, MA US","2016-10-18","62"
"USW00014739","BOSTON, MA US","2016-10-19","71"
"USW00014739","BOSTON, MA US","2016-10-20","60"
"USW00014739","BOSTON, MA US","2016-10-21","62"
"USW00014739","BOSTON, MA US","2016-10-22","61"
"USW00014739","BOSTON, MA US","2016-10-23","50"
"USW00014739","BOSTON, MA US","2016-10-24","54"
"USW00014739","BOSTON, MA US","2016-10-25","46"
"USW00014739","BOSTON, MA US","2016-10-26","42"
