BELLEVUE ST,Vacant,5
BELLFLOWER ST,Public & Quasi-Public,1
BELLFLOWER ST,Residential,11
BELLFLOWER ST,Vacant,3
BELLINGHAM PL,Residential,4
BELLVISTA RD,Residential,7
BELMONT PL,Vacant,1
BELMONT ST,Residential,22
BELMONT ST,Vacant,4
BELMORE TE,Residential,4
BELNAP RD,Residential,8
BELNEL RD,Public & Quasi-Public,1
BELNEL RD,Residential,45
BELNEL RD,Vacant,1
BELTON ST,Residential,18
BELVIDERE ST,Commercial,1
BELVIDERE ST,Industrial,1
BELVIDERE ST,Public & Quasi-Public,2
BELVIDERE ST,Residential,1
BENNET PL,Residential,4
BENNET ST,Public & Quasi-Public,1
BENNETT ST,Commercial,1
BENNETT ST,Public & Quasi-Public,2
BENNETT ST,Residential,56
BENNINGTON ST,Commercial,64
BENNINGTON ST,Industrial,2
BENNINGTON ST,Public & Quasi-Public,16
BENNINGTON ST,Residential,273
BENNINGTON ST,Residential (Mixed-Use),31
BENNINGTON ST,Vacant,19
BENSON ST,Residential,4
BENTHAM RD,Residential,12
BENTLEY ST,Residential,11
BERKELEY ST,Commercial,7
BERKELEY ST,Public & Quasi-Public,7
BERKELEY ST,Residential,5
BERKELEY ST,Residential (Mixed-Use),6
BERKELEY ST,Vacant,3
BERKSHIRE ST,Residential,2
BERNARD ST,Public & Quasi-Public,2
BERNARD ST,Residential,24
BERNARD ST,Vacant,2
BERNICE ST,Residential,1
BERRY ST,Residential,2
BERRY ST,Vacant,2
BERTRAM ST,Commercial,1
BERTSON AV,Residential,16
BERWICK ST,Residential,13
BERWICK ST,Vacant,1
BERYL ST,Residential,21
BERYL ST,Vacant,1
BEVERLY ST,Public & Quasi-Public,2
BEXLEY RD,Commercial,1
BEXLEY RD,Residential,28
BICKFORD AV,Public & Quasi-Public,1
BICKFORD AV,Residential,7
BICKFORD ST,Commercial,2
BICKFORD ST,Public & Quasi-Public,3
BICKFORD ST,Residential,2
BICKFORD ST,Vacant,12
BICKNELL ST,Commercial,1
BICKNELL ST,Public & Quasi-Public,1
BICKNELL ST,Residential,21
BICKNELL ST,Vacant,1
BIGELOW CI,Residential,2
BIGELOW ST,Commercial,2
BIGELOW ST,Public & Quasi-Public,1
BIGELOW ST,Residential,70
BIGELOW ST,Vacant,7
BILLERICA ST,Public & Quasi-Public,2
BILLERICA ST,Vacant,4
BILLINGS LA,Residential,4
BILLINGS LA,Vacant,3
BILLINGS ST,Residential,29
BILLINGS ST,Vacant,2
BILODEAU RD,Public & Quasi-Public,2
BILODEAU RD,Residential,6
BILTMORE ST,Residential,3
BINFORD ST,Residential,1
BINFORD ST,Vacant,1
BINNEY ST,Industrial,1
BINNEY ST,Public & Quasi-Public,4
BIRCH RD,Public & Quasi-Public,1
BIRCH RD,Residential,14
BIRCH RD,Vacant,18
BIRCH ST,Commercial,8
BIRCH ST,Public & Quasi-Public,1
BIRCH ST,Residential,45
BIRCH ST,Vacant,4
BIRCHCROFT RD,Residential,30
BIRCHCROFT RD,Vacant,1
BIRCHLAND AV,Residential,11
BIRCHLAND TE,Residential,5
BIRCHLAND TE,Vacant,1
BIRCHWOOD ST,Commercial,1
BIRCHWOOD ST,Residential,22
BIRCHWOOD ST,Vacant,3
BIRD PL,Residential,2
BIRD ST,Public & Quasi-Public,2
BIRD ST,Residential,27
BIRD ST,Vacant,3
BISCOE PL,Vacant,3
BISHOP JOE L SMITH WY,Public & Quasi-Public,1
BISHOP JOE L SMITH WY,Residential,5
BISHOP JOE L SMITH WY,Vacant,1
BISHOP ST,Public & Quasi-Public,2
BISHOP ST,Residential,5
BISMARCK ST,Industrial,1
BISMARCK ST,Residential,3
BISPHAM ST,Public & Quasi-Public,1
BISPHAM ST,Residential,2
BLABAN PL,Residential,3
BLACKFAN CI,Public & Quasi-Public,2
BLACKFAN CI,Vacant,1
BLACKFAN ST,Public & Quasi-Public,3
BLACKINTON ST,Public & Quasi-Public,1
BLACKINTON ST,Residential,4
BLACKSTONE SQ,Public & Quasi-Public,1
BLACKSTONE ST,Commercial,5
BLACKSTONE ST,Public & Quasi-Public,1
BLACKSTONE ST,Residential (Mixed-Use),1
BLACKSTONE ST,Vacant,1
BLACKWELL ST,Residential,12
BLACKWELL ST,Vacant,2
BLACKWOOD ST,Public & Quasi-Public,1
BLACKWOOD ST,Residential,6
BLACKWOOD ST,Vacant,2
BLAINE ST,Commercial,3
BLAINE ST,Residential,7
BLAKE ST,Residential,75
BLAKE ST,Vacant,5
BLAKEMORE ST,Residential,1
BLAKEMORE ST,Vacant,1
BLAKEVILLE ST,Residential,21
BLANCHARD ST,Residential,2
BLANCHE ST,Residential,22
BLANDFORD ST,Public & Quasi-Public,1
BLANVON RD,Residential,3
BLANVON RD,Vacant,1
BLENFORD RD,Residential,9
BLENFORD RD,Vacant,1
BLOCK ST,Public & Quasi-Public,1
BLOOMFIELD ST,Public & Quasi-Public,2
BLOOMFIELD ST,Residential,53
BLOOMFIELD ST,Vacant,2
BLOOMINGTON ST,Residential,6
BLOOMINGTON ST,Vacant,1
BLOSSOM ST,Commercial,2
BLOSSOM ST,Public & Quasi-Public,6
BLOSSOM ST,Residential,1
BLOSSOM ST,Vacant,1
BLUE HILL AV,Commercial,120
BLUE HILL AV,Industrial,1
BLUE HILL AV,Public & Quasi-Public,93
BLUE HILL AV,Residential,138
BLUE HILL AV,Residential (Mixed-Use),39
BLUE HILL AV,Vacant,89
BLUE LEDGE DR,Vacant,1
BLUEFIELD TE,Residential,13
BLUEVIEW CI,Residential,10
BLUEVIEW RD,Residential,12
BOARD AL,Commercial,2
BOARD AL,Residential,1
BOARDMAN ST,Commercial,1
BOARDMAN ST,Public & Quasi-Public,2
BOARDMAN ST,Residential,17
BOARDMAN ST,Vacant,5
BOBOLINK ST,Residential,9
BODWELL ST,Residential,11
BODWELL ST,Vacant,4
BOGANDALE RD,Public & Quasi-Public,2
BOGANDALE RD,Residential,23
BOLSTER ST,Residential,5
BOLTON PL,Residential,10
BOLTON PL,Vacant,2
BOLTON ST,Commercial,1
