st_loc,ptype,0
ARGYLE ST,106.0,1
ARGYLE ST,111.0,1
ARGYLE ST,985.0,1
ARGYLE TE,112.0,2
ARGYLE TE,132.0,1
ARION ST,101.0,3
ARION ST,105.0,4
ARION ST,111.0,1
ARION ST,130.0,2
ARION ST,131.0,1
ARION ST,336.0,1
ARLINGTON AV,13.0,1
ARLINGTON AV,337.0,5
ARLINGTON AV,400.0,1
ARLINGTON AV,404.0,1
ARLINGTON AV,985.0,2
ARLINGTON CT,101.0,1
ARLINGTON CT,132.0,2
ARLINGTON ST,13.0,1
ARLINGTON ST,101.0,59
ARLINGTON ST,104.0,41
ARLINGTON ST,105.0,4
ARLINGTON ST,111.0,2
ARLINGTON ST,121.0,1
ARLINGTON ST,132.0,5
ARLINGTON ST,300.0,2
ARLINGTON ST,316.0,1
ARLINGTON ST,332.0,1
ARLINGTON ST,340.0,1
ARLINGTON ST,343.0,1
ARLINGTON ST,344.0,3
ARLINGTON ST,387.0,3
ARLINGTON ST,902.0,1
ARLINGTON ST,906.0,1
ARLINGTON ST,970.0,3
ARLINGTON ST,977.0,1
ARLINGTON ST,985.0,5
ARMANDINE ST,101.0,12
ARMANDINE ST,104.0,8
ARMANDINE ST,105.0,33
ARMANDINE ST,106.0,1
ARMANDINE ST,111.0,1
ARMANDINE ST,902.0,3
ARMANDINE ST,976.0,1
ARMINGTON ST,104.0,1
ARMINGTON ST,111.0,1
ARMINGTON ST,112.0,1
ARMINGTON ST,976.0,1
ARMORY ST,101.0,4
ARMORY ST,104.0,1
ARMORY ST,130.0,4
ARMORY ST,132.0,1
ARMSTRONG ST,101.0,3
ARMSTRONG ST,104.0,2
ARMSTRONG ST,105.0,12
ARMSTRONG ST,132.0,3
ARNOLD PL,106.0,2
ARNOLD PL,132.0,2
ARUNDEL ST,105.0,1
ARUNDEL ST,904.0,1
ARVALE RD,104.0,1
ARVALE RD,132.0,1
ARVALE RD,902.0,4
ASCOT ST,105.0,2
