st_loc,building_typology,0
ARLINGTON AV,Medical/Lab/Production,2
ARLINGTON AV,Residential (Mixed-Use),1
ARLINGTON CT,Single-Family,1
ARLINGTON CT,Vacant,2
ARLINGTON ST,Convention/Assembly,1
ARLINGTON ST,Garage,3
ARLINGTON ST,Hotel,2
ARLINGTON ST,Multi-Family (2 units),41
ARLINGTON ST,Multi-Family (3 units),4
ARLINGTON ST,Multi-Family (4-6 units),2
ARLINGTON ST,Multi-Family (7-30 units),1
ARLINGTON ST,Office,7
ARLINGTON ST,Residential (Mixed-Use),1
ARLINGTON ST,Single-Family,59
ARLINGTON ST,Vacant,5
ARLINGTON ST,Warehouse,2
ARLINGTON ST,Worship,3
ARMANDINE ST,Multi-Family (2 units),8
ARMANDINE ST,Multi-Family (3 units),33
ARMANDINE ST,Multi-Family (4-6 units),1
ARMANDINE ST,Office,3
ARMANDINE ST,School,1
ARMANDINE ST,Single-Family,12
ARMINGTON ST,Multi-Family (2 units),1
ARMINGTON ST,Multi-Family (4-6 units),1
ARMINGTON ST,Multi-Family (7-30 units),1
ARMINGTON ST,School,1
ARMORY ST,Multi-Family (2 units),1
ARMORY ST,Single-Family,4
ARMORY ST,Vacant,5
ARMSTRONG ST,Multi-Family (2 units),2
ARMSTRONG ST,Multi-Family (3 units),12
ARMSTRONG ST,Single-Family,3
ARMSTRONG ST,Vacant,3
ARNOLD PL,Vacant,2
ARUNDEL ST,Multi-Family (3 units),1
ARVALE RD,Multi-Family (2 units),1
ARVALE RD,Office,4
ARVALE RD,Vacant,1
ASCOT ST,Multi-Family (3 units),2
ASHBURTON PL,Convention/Assembly,1
ASHBURTON PL,Garage,1
ASHBURTON PL,Office,2
ASHCROFT ST,Multi-Family (2 units),3
ASHCROFT ST,Multi-Family (3 units),1
ASHCROFT ST,Single-Family,2
ASHEVILLE RD,Multi-Family (2 units),1
ASHEVILLE RD,Single-Family,22
ASHEVILLE ST,Single-Family,2
ASHFIELD ST,Multi-Family (2 units),7
ASHFIELD ST,Multi-Family (3 units),2
ASHFIELD ST,Single-Family,14
ASHFORD CT,Multi-Family (7-30 units),1
ASHFORD ST,Convention/Assembly,3
ASHFORD ST,Garage,1
ASHFORD ST,Medical/Lab/Production,1
ASHFORD ST,Multi-Family (2 units),21
ASHFORD ST,Multi-Family (3 units),8
ASHFORD ST,Multi-Family (31-99 units),1
ASHFORD ST,Multi-Family (4-6 units),4
ASHFORD ST,Multi-Family (7-30 units),2
ASHFORD ST,Single-Family,4
ASHFORD TE,Single-Family,2
ASHLAND AV,Single-Family,2
ASHLAND ST,Multi-Family (2 units),11
ASHLAND ST,Multi-Family (3 units),3
ASHLAND ST,Multi-Family (4-6 units),2
ASHLAND ST,Single-Family,6
ASHLAND ST,Vacant,1
ASHLEY ST,Multi-Family (2 units),13
ASHLEY ST,Multi-Family (3 units),17
ASHLEY ST,Office,3
ASHLEY ST,Single-Family,15
ASHLEY ST,Vacant,6
ASHLEY ST,Worship,1
ASHMONT CT,Multi-Family (3 units),3
ASHMONT PK,Multi-Family (2 units),1
ASHMONT PK,Single-Family,3
ASHMONT PK,Vacant,1
ASHMONT ST,Multi-Family (2 units),54
ASHMONT ST,Multi-Family (3 units),25
ASHMONT ST,Multi-Family (31-99 units),1
ASHMONT ST,Multi-Family (4-6 units),3
ASHMONT ST,Multi-Family (7-30 units),1
ASHMONT ST,Office,1
ASHMONT ST,Residential (Mixed-Use),1
ASHMONT ST,School,1
ASHMONT ST,Single-Family,62
ASHMONT ST,Vacant,5
ASHTON ST,Multi-Family (3 units),2
ASHTON ST,Multi-Family (4-6 units),1
ASHTON ST,Office,2
ASHTON ST,Single-Family,10
ASHTON ST,Vacant,4
ASHTON ST,Worship,2
