OFFENSE_CODE_GROUP,OCCURRED_ON_DATE,STREET
Burglary,2016-08-10,4773 N FOX ST
Larceny,2016-04-17,5227 N MONROE ST
Larceny,2018-05-22,1568 S FEDERAL BLVD
All Other Crimes,2019-03-05,1500 E COLFAX AVE
Larceny,2015-09-21,2361 S WOLFF ST
Burglary,2016-07-10,1255 W VIRGINIA AVE
Burglary,2016-01-05,777 N CANOSA CT
Burglary,2018-06-09,4840 N JACKSON ST
Burglary,2016-12-17,4 S SANTA FE DR
Burglary,2016-08-05,4773 N FOX ST
Agg ASLT-Other,2016-05-11,1550 N BROADWAY ST
Burglary,2015-06-10,3954 N WILLIAMS ST
Theft from Motor Vehicle,2018-07-25,1660 N PEARL ST
Criminal Mischief-Property,2015-12-23,695 N BRYANT ST
Robbery-Street-Res,2015-10-21,1224 S MARIPOSA ST
Burglary,2016-03-05,777 N CANOSA CT
Burglary,2015-07-13,777 N CANOSA CT
Larceny,2018-09-21,11975 E 40TH AVE
Robbery-Street-Res,2016-03-31,1350 N XENIA ST
Burglary,2016-11-17,2675 S SANTA FE DR
Auto Theft,2019-04-04,5141 N FRANKLIN ST
Burglary,2018-08-17,7870 W QUINCY AVE
Robbery-Street-Res,2015-08-17,E 16TH AVE / N PEARL ST
Burglary,2015-05-02,1115 S BANNOCK ST
Burglary,2019-03-18,1136 N YUMA CT
Burglary,2015-12-02,3814 WALNUT ST
Burglary,2016-09-08,505 N BRYANT ST
Burglary,2018-07-09,260 N SANTA FE DR
Burglary,2015-09-06,762 N KALAMATH ST
Burglary,2019-03-29,330 N FEDERAL BLVD
Burglary,2016-07-18,4935 N YORK ST
Larceny,2016-09-22,1798 W MISSISSIPPI AVE
Burglary,2016-08-03,4690 N BRIGHTON BLVD
Burglary,2018-07-13,3995 E 50TH AVE
Burglary,2015-02-09,970 S ONEIDA ST
Robbery-Street-Res,2016-09-14,E 1ST AVE / N BROADWAY ST
Burglary,2018-09-12,4080 N GLOBEVILLE RD
Criminal Mischief-Property,2019-04-03,4228 N YORK ST
Larceny,2018-08-09,1155 S CHEROKEE ST
Burglary,2015-09-06,5109 W ALAMEDA AVE
Burglary,2018-06-10,1136 N YUMA CT
Burglary,2016-06-02,734 N SHERIDAN BLVD
Burglary,2016-08-04,2191 S JASON ST
Burglary,2018-07-09,120 S KALAMATH ST
Burglary,2015-08-13,1205 W EVANS AVE
Theft from Motor Vehicle,2019-03-05,5201 W 48TH AVE
Burglary,2015-01-27,835 E 50TH AVE
Burglary,2016-06-14,445 N FEDERAL BLVD
Burglary,2018-05-18,5109 W ALAMEDA AVE
Larceny,2018-05-17,1755 S BROADWAY ST
Burglary,2015-04-14,3937 N MARIPOSA ST
Burglary,2018-06-03,735 W BAYAUD AVE
All Other Crimes,2016-04-07,970 S ONEIDA ST
Robbery-Street-Res,2016-01-05,2617 W EVANS AVE
Burglary,2018-05-27,2020 S BROADWAY ST
Larceny,2015-07-25,4620 N PEORIA ST
All Other Crimes,2019-04-16,4414 N VINE ST
Burglary,2015-07-22,4990 N HOOKER ST
Agg ASLT-Other,2019-03-18,1736 N DOWNING ST
Burglary,2016-11-26,4750 N NOME ST
Larceny,2015-06-25,3170 W 14TH AVE
Robbery-Street-Res,2018-07-03,W 38TH AVE / N WINONA CT
Burglary,2018-09-04,1126 S SHERIDAN BLVD
Auto Theft,2019-03-31,4620 N PEORIA ST
Robbery-Street-Res,2016-07-25,3996 E EVANS AVE
Burglary,2015-08-16,1798 W MISSISSIPPI AVE
Burglary,2018-08-01,2243 N FEDERAL BLVD
